timestamp,ambient_temp_c,wind_speed_ms,load_demand_kw,solar_output_kw,wind_output_kw
2022-01-01T00:00:00,-3.2,5.7,90.4,6.3,4.3
2022-01-01T01:00:00,-2.7,5.5,91.4,7.5,3.7
2022-01-01T02:00:00,-2.2,5.22,89.3,11.6,2.6
2022-01-01T03:00:00,-1.7,5.18,86.9,17.5,2.4
2022-01-01T04:00:00,-1.3,5.29,92.1,18.8,2.9
2022-01-01T05:00:00,-0.9,4.97,90.4,25.5,1.9
2022-01-01T06:00:00,-0.7,4.16,89.4,36.6,0.4
2022-01-01T07:00:00,-0.5,2.83,90.6,37.2,0.0
2022-01-01T08:00:00,-0.4,1.56,91.4,44.5,0.0
2022-01-01T09:00:00,-0.3,0.41,90.0,57.7,0.0
2022-01-01T10:00:00,-0.3,1.0,93.1,65.3,0.0
2022-01-01T11:00:00,-0.6,1.82,90.0,76.0,0.0
2022-01-01T12:00:00,-1.1,2.53,90.1,65.7,0.0
2022-01-01T13:00:00,-1.8,2.77,87.8,71.9,0.0
2022-01-01T14:00:00,-3.1,2.63,91.5,71.3,0.0
2022-01-01T15:00:00,-4.2,3.24,88.0,51.1,0.0
2022-01-01T16:00:00,-4.8,4.05,91.6,46.0,0.3
2022-01-01T17:00:00,-4.7,5.35,88.0,37.4,2.9
2022-01-01T18:00:00,-4.7,6.43,90.1,37.7,8.9
2022-01-01T19:00:00,-5.0,7.3,90.1,33.9,15.6
2022-01-01T20:00:00,-5.1,8.42,88.2,22.1,29.4
2022-01-01T21:00:00,-5.2,9.02,87.8,16.4,38.0
2022-01-01T22:00:00,-5.2,9.56,90.9,10.2,48.9
2022-01-01T23:00:00,-5.2,9.9,89.6,6.2,53.7
2022-01-02T00:00:00,-4.2,9.36,92.3,5.8,44.7
2022-01-02T01:00:00,-3.9,8.75,89.8,6.8,34.0
2022-01-02T02:00:00,-3.5,8.05,88.7,11.7,24.8
2022-01-02T03:00:00,-3.0,7.15,89.8,13.0,14.2
2022-01-02T04:00:00,-2.5,7.17,91.8,18.4,13.6
2022-01-02T05:00:00,-1.9,6.63,89.7,31.8,10.3
2022-01-02T06:00:00,-1.4,5.79,86.7,39.6,4.7
2022-01-02T07:00:00,-0.9,4.78,89.8,38.7,1.4
2022-01-02T08:00:00,-0.6,3.86,90.3,42.2,0.2
2022-01-02T09:00:00,-0.3,3.14,88.6,64.6,0.0
2022-01-02T10:00:00,-0.3,2.73,91.2,72.9,0.0
2022-01-02T11:00:00,-0.4,3.47,90.0,74.8,0.0
2022-01-02T12:00:00,-0.3,4.18,94.4,65.4,0.5
2022-01-02T13:00:00,-1.1,8.38,89.9,71.6,27.0
2022-01-02T14:00:00,-1.5,10.69,89.9,70.7,78.2
2022-01-02T15:00:00,-1.8,11.36,90.0,66.3,97.9
2022-01-02T16:00:00,-2.1,11.48,90.6,42.3,96.5
2022-01-02T17:00:00,-2.5,11.57,90.1,48.4,103.6
2022-01-02T18:00:00,-2.9,11.57,89.0,40.1,102.1
2022-01-02T19:00:00,-3.2,11.48,91.9,29.2,98.7
